METER_D1_004826,00-00-00-00-00-00-48-26
METER_D1_004827,00-00-00-00-00-00-48-27
METER_D1_004828,00-00-00-00-00-00-48-28
METER_D1_004829,00-00-00-00-00-00-48-29
METER_D1_004822,00-00-00-00-00-00-48-22
METER_D1_004823,00-00-00-00-00-00-48-23
METER_D1_004824,00-00-00-00-00-00-48-24
METER_D1_004825,00-00-00-00-00-00-48-25
METER_D1_016811,00-00-00-00-00-01-68-11
METER_D1_016810,00-00-00-00-00-01-68-10
METER_D1_016804,00-00-00-00-00-01-68-04
METER_D1_016803,00-00-00-00-00-01-68-03
METER_D1_016802,00-00-00-00-00-01-68-02
METER_D1_016801,00-00-00-00-00-01-68-01
METER_D1_016808,00-00-00-00-00-01-68-08
METER_D1_016807,00-00-00-00-00-01-68-07
METER_D1_016806,00-00-00-00-00-01-68-06
METER_D1_016805,00-00-00-00-00-01-68-05
METER_D1_004830,00-00-00-00-00-00-48-30
METER_D1_004831,00-00-00-00-00-00-48-31
METER_D1_004832,00-00-00-00-00-00-48-32
METER_D1_016809,00-00-00-00-00-01-68-09
METER_D1_028800,00-00-00-00-00-02-88-00
METER_D1_028801,00-00-00-00-00-02-88-01
METER_D1_004837,00-00-00-00-00-00-48-37
METER_D1_004838,00-00-00-00-00-00-48-38
METER_D1_004839,00-00-00-00-00-00-48-39
METER_D1_004833,00-00-00-00-00-00-48-33
METER_D1_004834,00-00-00-00-00-00-48-34
METER_D1_004835,00-00-00-00-00-00-48-35
METER_D1_004836,00-00-00-00-00-00-48-36
METER_D1_016822,00-00-00-00-00-01-68-22
METER_D1_016821,00-00-00-00-00-01-68-21
METER_D1_016820,00-00-00-00-00-01-68-20
METER_D1_016815,00-00-00-00-00-01-68-15
METER_D1_016814,00-00-00-00-00-01-68-14
METER_D1_016813,00-00-00-00-00-01-68-13
METER_D1_016812,00-00-00-00-00-01-68-12
METER_D1_016819,00-00-00-00-00-01-68-19
METER_D1_016818,00-00-00-00-00-01-68-18
METER_D1_016817,00-00-00-00-00-01-68-17
METER_D1_016816,00-00-00-00-00-01-68-16
METER_D1_004840,00-00-00-00-00-00-48-40
METER_D1_004841,00-00-00-00-00-00-48-41
METER_D1_004842,00-00-00-00-00-00-48-42
METER_D1_004843,00-00-00-00-00-00-48-43
METER_D1_004848,00-00-00-00-00-00-48-48
METER_D1_028815,00-00-00-00-00-02-88-15
METER_D1_004849,00-00-00-00-00-00-48-49
METER_D1_028816,00-00-00-00-00-02-88-16
METER_D1_028813,00-00-00-00-00-02-88-13
METER_D1_028814,00-00-00-00-00-02-88-14
METER_D1_004844,00-00-00-00-00-00-48-44
METER_D1_028819,00-00-00-00-00-02-88-19
METER_D1_004845,00-00-00-00-00-00-48-45
METER_D1_004846,00-00-00-00-00-00-48-46
METER_D1_028817,00-00-00-00-00-02-88-17
METER_D1_004847,00-00-00-00-00-00-48-47
METER_D1_028818,00-00-00-00-00-02-88-18
METER_D1_016833,00-00-00-00-00-01-68-33
METER_D1_016832,00-00-00-00-00-01-68-32
METER_D1_016831,00-00-00-00-00-01-68-31
METER_D1_016830,00-00-00-00-00-01-68-30
METER_D1_016826,00-00-00-00-00-01-68-26
METER_D1_016825,00-00-00-00-00-01-68-25
METER_D1_016824,00-00-00-00-00-01-68-24
METER_D1_016823,00-00-00-00-00-01-68-23
METER_D1_016829,00-00-00-00-00-01-68-29
METER_D1_016828,00-00-00-00-00-01-68-28
METER_D1_016827,00-00-00-00-00-01-68-27
METER_D1_004851,00-00-00-00-00-00-48-51
METER_D1_004852,00-00-00-00-00-00-48-52
METER_D1_004853,00-00-00-00-00-00-48-53
METER_D1_004854,00-00-00-00-00-00-48-54
METER_D1_028822,00-00-00-00-00-02-88-22
METER_D1_028823,00-00-00-00-00-02-88-23
METER_D1_028820,00-00-00-00-00-02-88-20
METER_D1_004850,00-00-00-00-00-00-48-50
METER_D1_028821,00-00-00-00-00-02-88-21
METER_D1_004859,00-00-00-00-00-00-48-59
METER_D1_028804,00-00-00-00-00-02-88-04
METER_D1_028805,00-00-00-00-00-02-88-05
METER_D1_028802,00-00-00-00-00-02-88-02
METER_D1_028803,00-00-00-00-00-02-88-03
METER_D1_004855,00-00-00-00-00-00-48-55
METER_D1_028808,00-00-00-00-00-02-88-08
METER_D1_004856,00-00-00-00-00-00-48-56
METER_D1_028809,00-00-00-00-00-02-88-09
METER_D1_004857,00-00-00-00-00-00-48-57
METER_D1_028806,00-00-00-00-00-02-88-06
METER_D1_004858,00-00-00-00-00-00-48-58
METER_D1_028807,00-00-00-00-00-02-88-07
METER_D1_016840,00-00-00-00-00-01-68-40
METER_D1_016844,00-00-00-00-00-01-68-44
METER_D1_016843,00-00-00-00-00-01-68-43
METER_D1_016842,00-00-00-00-00-01-68-42
METER_D1_016841,00-00-00-00-00-01-68-41
METER_D1_016837,00-00-00-00-00-01-68-37
METER_D1_016836,00-00-00-00-00-01-68-36
METER_D1_016835,00-00-00-00-00-01-68-35
METER_D1_016834,00-00-00-00-00-01-68-34
METER_D1_016839,00-00-00-00-00-01-68-39
METER_D1_016838,00-00-00-00-00-01-68-38
METER_D1_004862,00-00-00-00-00-00-48-62
METER_D1_004863,00-00-00-00-00-00-48-63
